episode,moe_totalWaitingTime,moe_queueLength,moe_avgSpeed,simulation_step,cum_reward
1,91889.0,63.111488263475614,2.0039792489386032,4679.0,-13695.192953174208
2,80332.0,68.67187703866674,2.0377207729086377,4311.0,-12017.578481766679
3,95157.0,65.2004087571229,1.9028005717785759,4522.0,-14018.087882781425
4,77168.0,70.00771842689863,2.1590668187903708,4189.0,-11341.250385157578
5,93024.0,63.11624286796642,1.8097037861863792,4555.0,-13759.34094521668
6,72817.0,64.0250775767496,2.0832676812499566,4522.0,-11780.614274121925
7,81501.0,57.218265351663526,1.8055188342469461,4677.0,-11901.399193146013
8,79273.0,72.01960008900214,2.260186380768023,3834.0,-11523.136014240343
9,83151.0,68.00179560114756,2.0844835961669146,4156.0,-12376.326799408856
10,102084.0,71.96544041907177,2.4041733506892315,4034.0,-14608.98440507157
11,66878.0,64.34349535494212,2.173152742419989,4400.0,-10552.333238210507
12,81278.0,58.74781016367937,1.8422643153244485,4644.0,-11749.562032735874
13,74710.0,66.3596719282652,1.9915422229413198,4068.0,-11347.50389973335
14,61156.0,63.80015538559555,2.3140130374835985,4311.0,-10208.024861695289
15,74601.0,63.69882486322203,1.9150188660714147,5132.0,-12548.66849805474
16,77131.0,71.30774270902339,1.907312544996014,4278.0,-11837.085289697883
17,78317.0,64.37686819255937,2.4117440129587764,4156.0,-11780.966879238364
18,79181.0,55.578634800380286,2.1849116979181455,4644.0,-12727.507369287085
19,79469.0,69.94845162328268,2.232639473232985,4068.0,-11191.752259725228
20,64107.0,69.68584951538969,2.7383447716677005,3912.0,-10731.620825370013
21,77743.0,82.25773956772949,2.155794533257028,3912.0,-12256.403195591693
22,60566.0,59.08014067834667,2.068297869313028,4555.0,-9570.982789892161
23,67564.0,46.87877086688081,1.4242285423362606,5165.0,-10828.996070249466
24,81743.0,70.52631450863775,1.7401961297979849,4677.0,-13188.42081311526
25,68186.0,67.91547824104877,2.793827039120657,3912.0,-11206.053909773047
26,77054.0,58.00043442266347,2.3522033430777243,4156.0,-12412.092966449982
27,64528.0,43.38034534370651,1.7392981770703946,4681.0,-10758.325645239214
28,72271.0,76.94371257394013,2.46583977189573,3912.0,-10618.232335203738
29,74103.0,53.32402676395352,2.4390125597902554,4311.0,-10344.861192206983
30,78081.0,52.68562738113764,2.034241018407083,4678.0,-11538.152396469144
31,66502.0,65.67406767032043,2.275705405164278,4189.0,-11033.243368613832
32,56911.0,50.95413658114329,2.342039064674009,4799.0,-9477.469404092652
33,69711.0,54.45713668856467,2.228895742921142,4156.0,-10510.22738089298
34,83888.0,66.0916106135086,2.4476724338259217,4034.0,-13350.505343928739
35,85501.0,43.21600380535255,1.4040169743380255,4923.0,-12273.345080720124
