episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
-214091.0,-286598.5,-238375.07142857142,1294.5714285714287,0,0,11000,32,11000,False,7,11,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-33-02,1650699182,25.00058364868164,308.04859948158264,34544,B46DSH3,127.0.0.1,308.04859948158264,352,11,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647]",0.2,159916.273,15.698,2038.429,11000,11000,80032,32,80032,10576,20,8.34375,26.384375,0.22249999999999998,0.0395050048828125,"[ 1024.9304    -593.5487    -272.97314    147.88623    117.02124
  -654.3622     202.40161    -46.717773   216.30444    215.73047
   327.0979      -7.272949   -92.92236   -382.82593   -114.710205
   160.61548    678.08655     60.238525 -1308.7864    -851.4072
  -626.1546     132.23901    260.9851     516.8623      82.11621
    68.80664    368.9646    -148.71826   -316.45117     67.343994
   164.68018   -326.13403 ]",0.0005000000237487257,-2307.3037,-2941.2908,-698.46277,-29.083565
-214091.0,-369081.0,-254713.3125,1451.125,1,0,12000,32,12000,False,8,12,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-33-24,1650699204,21.566492795944214,329.61509227752686,34544,B46DSH3,127.0.0.1,329.61509227752686,384,12,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547]",0.1,320175.878,12.281,2605.567,12000,12000,88032,32,88032,11584,22,8.507142857142856,26.38571428571428,0.2175,0.039728800455729164,"[ 305.05542  -379.94067  -102.423584   -5.583008 -394.14      152.37158
 -124.22626   657.0242    137.10376  -498.70972   502.69287  -859.09985
 -964.1931    135.70508   132.97583   122.821045 -195.23926   142.33716
 -437.5681   -115.260254 -924.55347    43.900757   -2.729004  440.55103
  764.64197   728.7915   -619.6885     40.118164   91.67407  -634.4961
 -439.3755   -312.1057  ]",0.0005000000237487257,-2480.584,-3175.9329,-869.0271,-81.61149
-214091.0,-369081.0,-254713.3125,1451.125,0,0,13000,32,13000,False,8,13,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-33-49,1650699229,25.066268920898438,354.6813611984253,34544,B46DSH3,127.0.0.1,354.6813611984253,416,13,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547]",0.0,0.0,13.033,2455.277,13000,13000,96032,32,96032,12592,24,8.006250000000001,26.393749999999997,0.18093750000000003,0.03957176208496094,"[   69.31006    -45.56079    150.0586     214.9209   -1051.5221
  1129.2582     111.06311    284.07373     60.923096  -180.47827
    24.473877    37.794434   104.82202    -85.399414   -36.033447
  -801.7717    -287.19043    -92.59204    105.94165    322.7417
   336.1477      40.09375    -54.767334   276.51904   -123.49585
    13.530273  -399.31598    207.49854   -880.8707     168.09668
    79.47168    390.60474 ]",0.0005000000237487257,-2825.5547,-3403.1738,-988.57916,2.7608013
-214091.0,-369081.0,-263080.22222222225,1539.5555555555557,1,0,14000,32,14000,False,9,14,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-34-11,1650699251,22.68661665916443,377.3679778575897,34544,B46DSH3,127.0.0.1,377.3679778575897,448,14,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0, -330015.5]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547, 2247]",0.1,319946.908,19.837,1613.163,14000,14000,104032,32,104032,13600,26,8.317241379310346,26.393103448275852,0.21724137931034485,0.03954166105423851,"[-116.46265    77.880615 -110.70166   527.14795   112.235596   30.722168
 -188.66284   103.21875    62.42932  -139.35205   403.19214   164.27002
 -145.34741   471.9065   -539.01807  -161.78882  -133.31982  -838.69934
  -58.78784    91.55078   -59.14044   557.40674   357.59253   288.01294
  389.80322    61.08252   310.4414   -164.62524  -654.3606    540.38916
  121.71924  -391.09888 ]",0.0005000000237487257,-2798.1494,-3740.7715,-522.947,30.301125
-214091.0,-369081.0,-263080.22222222225,1539.5555555555557,0,0,15000,32,15000,False,9,15,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-34-41,1650699281,29.53617787361145,406.9041557312012,34544,B46DSH3,127.0.0.1,406.9041557312012,480,15,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0, -330015.5]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547, 2247]",0.0,0.0,16.191,1976.464,15000,15000,112032,32,112032,14608,28,8.137837837837838,26.375675675675673,0.20972972972972975,0.03977127762528154,"[   87.20557   -587.4852    -445.71216     91.37622    550.23413
 -1418.7258     262.5083    -148.2273     -52.755615   -82.07837
   336.8601    -310.88135   -937.36646   -936.453    -2156.9434
  -475.85693   1783.6211    -315.25146   -189.85059    278.0835
    80.028564    36.151855    64.43262  -1443.4944      50.21289
   439.48462  -1257.2427     351.68848   -272.3562    -291.30176
  -292.61694   -143.32007 ]",0.0005000000237487257,-3020.1367,-3658.6162,-1955.7959,-229.56348
-214091.0,-369081.0,-263080.22222222225,1539.5555555555557,0,0,16000,32,16000,False,9,16,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-35-03,1650699303,22.358205318450928,429.2623610496521,34544,B46DSH3,127.0.0.1,429.2623610496521,512,16,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0, -330015.5]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547, 2247]",1.004,31861.775,14.006,2284.775,16000,16000,120032,32,120032,15616,30,8.096551724137932,26.372413793103444,0.19620689655172416,0.039529734644396554,"[   47.134766   -289.42358     -96.6344       18.091309    399.68774
  -205.2732      526.4617       57.669678   -932.34033      39.35791
   377.20557     149.90527     150.23462    -392.4121     -109.32788
  -623.6549       15.1276245   172.59766     -76.853516    191.31055
   333.34058      -7.5842285  -226.02173     241.6466      -21.257324
   338.88647     151.78247     140.22852   -1085.5637     -487.2411
   -40.119995   -772.97     ]",0.0005000000237487257,-3145.095,-4017.249,-619.6664,-63.000282
-214091.0,-369081.0,-266845.4,1604.9,1,0,17000,32,17000,False,10,17,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-35-29,1650699329,25.914122104644775,455.1764831542969,34544,B46DSH3,127.0.0.1,455.1764831542969,544,17,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0, -330015.5, -300732.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547, 2247, 2193]",0.0,0.0,16.887,1894.989,17000,17000,128032,32,128032,16624,32,8.01764705882353,26.376470588235293,0.1926470588235294,0.039692598230698525,"[ 249.4679    326.38623   -32.86035  -494.18066  -126.176025  180.229
 -723.2761    459.14355  -195.1931    -50.213135  207.78125   -34.074707
   67.90332   617.98755   555.2534    203.72949   150.85864   140.1521
  264.3872    -42.205322 -494.90234   227.79663    83.91016   947.5189
  761.0454     -4.121826  137.96216   -17.79248  -316.30176   204.73706
  130.81787   257.70776 ]",0.0005000000237487257,-3132.6133,-4174.519,-95.92871,113.85869
-214091.0,-369081.0,-266845.4,1604.9,0,0,18000,32,18000,False,10,18,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-35-51,1650699351,21.92217469215393,477.0986578464508,34544,B46DSH3,127.0.0.1,477.0986578464508,576,18,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0, -330015.5, -300732.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547, 2247, 2193]",0.0,0.0,16.731,1912.587,18000,18000,136032,32,136032,17632,34,8.389285714285716,26.38214285714285,0.2328571428571429,0.03966413225446429,"[  110.23755     999.49023    -529.31836     189.66455     237.57007
     3.2487793    94.26367     254.64404     177.3628      217.06934
   208.34277     238.89001    -215.95386    -159.52783     482.32617
   105.421875   -222.90723       4.0668945 -1232.6284      264.7556
  -233.99121   -1805.9135      -86.01904    -919.07446     -52.82837
    64.203125    433.02808    -577.5088      433.79077     131.84863
 -1804.4329    -1027.6904   ]",0.0005000000237487257,-3419.892,-4460.256,-1088.823,-131.79903
-214091.0,-369081.0,-266482.2727272727,1645.7272727272727,1,0,19000,32,19000,False,11,19,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-36-16,1650699376,24.34128451347351,501.4399423599243,34544,B46DSH3,127.0.0.1,501.4399423599243,608,19,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0, -330015.5, -300732.0, -262851.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547, 2247, 2193, 2054]",0.071,452826.343,15.373,2081.563,19000,19000,144032,32,144032,18640,36,8.35483870967742,26.383870967741927,0.19193548387096776,0.03978245232694894,"[-1.29257324e+02  3.03050781e+02 -5.10536377e+02 -3.04549072e+02
 -6.38417969e+02 -6.03792480e+02  1.20388672e+02 -2.45045410e+02
  7.35021973e+01 -8.27622070e+01  1.10808105e+02  1.04419678e+02
 -1.76554688e+02 -2.54866699e+02  1.65615234e+02  1.52929688e+00
 -5.61254883e+01  7.93024170e+02  1.03506104e+02  2.58203125e+01
 -9.22087402e+01  1.57373047e+01 -4.58159180e+01  6.28896729e+02
  2.20081055e+02 -9.79795410e+02  3.56591064e+02 -2.36784106e+03
  1.28059082e+02 -1.09940918e+02  8.69418945e+01 -7.35827637e+02]",0.0005000000237487257,-3976.4517,-4757.957,-1786.128,-127.98018
-214091.0,-369081.0,-266482.2727272727,1645.7272727272727,0,0,20000,32,20000,False,11,20,default,95e78961492a4dcb80c947ca4b37d3b2,2022-04-23_16-36-38,1650699398,22.541923999786377,523.9818663597107,34544,B46DSH3,127.0.0.1,523.9818663597107,640,20,"[-286598.5, -230899.5, -246808.5, -240705.5, -220092.5, -214091.0, -229430.0, -369081.0, -330015.5, -300732.0, -262851.0]","[1207, 1061, 1210, 1290, 1315, 1332, 1647, 2547, 2247, 2193, 2054]",1.1,29087.343,17.309,1848.719,20000,20000,152032,32,152032,19648,38,8.144827586206898,26.39999999999999,0.19655172413793104,0.03951921134159483,"[  636.89606    102.04443    395.07715    220.88623    -73.73877
   797.86304    893.95215   -769.3479     190.6123      48.108154
    35.020508    56.68701    785.01953   -636.94556   -388.78613
   488.15674   -389.271      -24.156738    94.1001     -57.050293
    32.176453    63.39795  -1009.6365      45.378418  -382.1941
    62.70215    -27.800781   -51.25757    576.62646    235.26758
  -149.24976   -177.58643 ]",0.0005000000237487257,-3767.7532,-4882.2324,-422.87897,50.717216
