episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
-80654.91442939198,-80654.91442939198,-80654.91442939198,700.0,1,0,1000,32,1000,False,1,1,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_20-54-18,1650628458,63.97836875915527,63.97836875915527,26140,B46DSH3,127.0.0.1,63.97836875915527,32,1,[-80654.91442939198],[700],1.0488902653133,6.301981585842746,0.16474866724157192,55.684455267556544,0.0,0.0,0.0,167.331,191.238,1000,1000,32,32,32,1000,1,4.420731707317073,21.39024390243903,0.06036585365853659,0.024359726324314025,"[258.6818    89.102455 173.89445  214.60655    6.356589 213.08421
  48.762043 195.41115   96.33383  198.69508  158.5128    54.6875
  39.72975   48.466915 232.44495  202.6588    82.40794   16.75348
  56.391464 125.171776 104.161545  87.36029   72.85322   24.761536
  96.02239   17.421593  41.77441   76.91632   48.9777    72.10677
 252.72702  236.92854 ]",0.0005000000237487257,0.1703007,-1.1488471,1.026863,113.88016
-76038.86876627273,-80654.91442939198,-78346.89159783235,683.5,1,0,2000,32,2000,False,2,2,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_20-55-38,1650628538,80.58376097679138,144.56212973594666,26140,B46DSH3,127.0.0.1,144.56212973594666,64,2,"[-80654.91442939198, -76038.86876627273]","[700, 667]",1.0531935577071252,5.902695070406044,0.147526946561447,58.650274354569945,0.0,0.4,80015.338,24.104,1327.575,2000,2000,8032,32,8032,1504,2,4.3932692307692305,21.435576923076926,0.08278846153846153,0.02447509765625,"[  18.215088  -109.42699    -68.85062    -38.62654     87.96271
  -67.42662     68.69351    -55.486282   -90.49902   -179.90372
    3.6597443  -13.268644    23.414398  -142.81015     -1.0913544
   55.49344     39.315735   -25.509453    45.85919     51.07834
  -74.192566   -86.14838    -23.159607  -121.3018     -26.530762
   89.45126    -13.23671    -33.075684  -248.51797     82.461395
   -1.251236    39.912872 ]",0.0005000000237487257,-222.12613,-325.14062,-11.387371,-25.462389
-76038.86876627273,-83825.80045939959,-79482.93959009672,730.25,2,0,3000,32,3000,False,4,3,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_20-56-48,1650628608,69.32152485847473,213.8836545944214,26140,B46DSH3,127.0.0.1,213.8836545944214,96,3,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258]","[700, 667, 788, 766]",1.1813105232970447,5.647334061448221,0.12895201171224893,59.02970036041958,0.0,1.562,20480.0,18.759,1705.871,3000,3000,16032,32,16032,2512,4,4.425,21.59090909090909,0.1159090909090909,0.026928063594933712,"[  25.856415   -79.3398      30.026398   120.89636     19.577728
  132.19843     17.652344    32.950104   179.62793     55.909668
   30.634613   -31.625     -103.305756   192.712     -204.91318
  -57.518036  -134.35934    137.30801   -244.93431   -165.2153
 -191.01389   -220.80626     -5.4605103  -15.530334    33.999207
 -120.94707    -95.03735     22.614655    13.84668    -31.625
  -28.78357   -123.12822  ]",0.0005000000237487257,-334.6104,-560.6764,-69.77821,-25.241634
-71886.78682033283,-83825.80045939959,-77963.70903614393,728.8,1,0,4000,32,4000,False,5,4,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_20-58-09,1650628689,81.66790461540222,295.5515592098236,26140,B46DSH3,127.0.0.1,295.5515592098236,128,4,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283]","[700, 667, 788, 766, 723]",1.2017580587668184,5.578300590434921,0.1270989896449391,59.550643014675565,0.0,0.0,0.0,19.346,1654.068,4000,4000,24032,32,24032,3520,6,4.246226415094339,21.599999999999998,0.09783018867924531,0.027099609375,"[ -54.61029    87.964294  167.10406    13.683838  180.32849    57.413635
  -17.99752    -8.42334    16.898071  -47.641693   77.61511   -56.136414
   16.595337   15.745789  208.42462   -41.572815   -4.671417  -90.44025
  147.1065    -50.56189   -16.421051  330.30457    56.27655   -68.55664
 -223.56406  -165.26236    25.277771   24.364044  188.79456  -334.28918
  -49.019897 -355.17023 ]",0.0005000000237487257,-458.5706,-624.43646,-113.05238,0.9236927
-71886.78682033283,-83825.80045939959,-77784.73413406407,745.1666666666666,1,0,5000,32,5000,False,6,5,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_20-59-23,1650628763,74.12227439880371,369.6738336086273,26140,B46DSH3,127.0.0.1,369.6738336086273,160,5,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283, -76889.85962366471]","[700, 667, 788, 766, 723, 827]",1.207739144685738,5.525692787343842,0.12665762132159908,59.8677146919999,0.0,0.199,160470.741,21.668,1476.859,5000,5000,32032,32,32032,4528,8,4.285416666666666,21.599999999999998,0.10572916666666667,0.027099609375,"[-7.70407104e+01  2.63235321e+02 -2.15325562e+02 -5.20579834e+01
 -1.77703888e+02 -1.38801880e+01 -1.10913086e+02  1.06453888e+02
  3.65513916e+01  2.11365326e+02 -1.10348663e+02 -3.93474731e+01
  1.28964966e+02  1.52436523e+01 -6.08826904e+01  3.56026611e+01
 -6.45869141e+01 -4.96825867e+01  4.61425781e-02 -4.19880676e+01
 -2.19931274e+02 -3.07787476e+01 -4.19909668e+00 -9.16539917e+01
  2.35855652e+02 -1.94470642e+02  5.51985474e+01 -2.69647217e+00
 -3.52587585e+01  1.94242554e+02 -3.13567505e+01 -7.52375183e+01]",0.0005000000237487257,-582.2427,-830.0957,-141.11182,-13.018155
-66447.03194812883,-83825.80045939959,-75056.26569906845,743.25,2,0,6000,32,6000,False,8,6,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_21-00-27,1650628827,63.440417528152466,433.1142511367798,26140,B46DSH3,127.0.0.1,433.1142511367798,192,6,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283, -76889.85962366471, -66447.03194812883, -67294.68884003433]","[700, 667, 788, 766, 723, 827, 709, 766]",1.2379818285112676,5.473918593769886,0.12575853926777947,59.73997478075952,0.0,0.984,32526.592,20.051,1595.942,6000,6000,40032,32,40032,5536,10,4.332926829268292,21.599999999999994,0.12060975609756096,0.027140547589557928,"[-5.30642395e+01  5.25335693e+00 -1.25479736e+01 -1.51387024e+01
  6.54967651e+01 -4.58594574e+02  3.41418457e+00  6.81083984e+01
  3.41846497e+02  2.87280884e+01 -2.42108459e+01  1.54149048e+02
  2.99806519e+01  1.42399475e+02 -2.53696655e+02 -2.31667252e+01
  1.80155991e+02  2.73555969e+02  2.72976440e+02 -1.49103271e+02
 -5.40062256e+01 -8.85477905e+01 -2.75997314e+02  2.14527588e+01
 -1.59840698e+01 -3.08469238e+01 -1.74143738e+02  1.43615723e-01
  1.31976685e+02 -2.72008057e+02  1.90287537e+02 -1.19878235e+01]",0.0005000000237487257,-682.2282,-1026.5723,131.85532,-0.09748268
-64181.18332993794,-83825.80045939959,-73847.92321360951,749.3333333333334,1,0,7000,32,7000,False,9,7,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_21-01-41,1650628901,74.1149332523346,507.2291843891144,26140,B46DSH3,127.0.0.1,507.2291843891144,224,7,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283, -76889.85962366471, -66447.03194812883, -67294.68884003433, -64181.18332993794]","[700, 667, 788, 766, 723, 827, 709, 766, 798]",1.2439804707664188,5.455406707880802,0.12595505030334098,59.71331670902003,0.0,0.0,0.0,17.005,1881.79,7000,7000,48032,32,48032,6544,12,4.320833333333334,21.599999999999998,0.11979166666666667,0.027099609375,"[ 185.64124    388.1444    -131.75171    -88.78558     34.086
 -103.30914     99.295044  -442.17993    314.79352    -92.649536
  -80.20355     -4.211853   165.82086    -41.061157    -3.0393066
 -134.70996   -110.77991     -1.1158447   96.04645     -9.877441
   30.66986    -23.839478    19.210388    29.06482     26.91748
    1.6713257  303.04297    -14.552303   345.36072    -24.504456
  265.40076     27.139404 ]",0.0005000000237487257,-749.0595,-1113.5388,-66.05209,32.05419
-64181.18332993794,-83825.80045939959,-73802.06605878446,762.1,1,0,8000,32,8000,False,10,8,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_21-02-52,1650628972,71.12801551818848,578.3571999073029,26140,B46DSH3,127.0.0.1,578.3571999073029,256,8,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283, -76889.85962366471, -66447.03194812883, -67294.68884003433, -64181.18332993794, -73389.35166535909]","[700, 667, 788, 766, 723, 827, 709, 766, 798, 877]",1.2450082102482183,5.43782408398954,0.12630578139317294,59.67158838950079,0.0,2.0,16000.587,16.798,1904.984,8000,8000,56032,32,56032,7552,14,4.3304347826086955,21.599999999999994,0.11065217391304348,0.027099609375,"[-247.50204    -27.733765    62.939087   -82.986084  -437.03442
  -53.931602  -179.21317    204.49939    184.21997    462.38324
  -76.55066     43.65796    173.19801    -38.468872    19.026428
  -27.067383   -51.468872    19.942505   121.0354     112.26196
  -66.727905   346.37677    -84.04968     30.193726     6.0618896
  -59.774597  -282.56763     -1.9014893  203.66663     -7.8272705
   13.102295     9.91687  ]",0.0005000000237487257,-809.67834,-1198.7673,-73.409,8.989895
-64181.18332993794,-83825.80045939959,-74270.10648027563,779.8181818181819,1,0,9000,32,9000,False,11,9,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_21-03-56,1650629036,63.23634171485901,641.5935416221619,26140,B46DSH3,127.0.0.1,641.5935416221619,288,9,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283, -76889.85962366471, -66447.03194812883, -67294.68884003433, -64181.18332993794, -73389.35166535909, -78950.51069518723]","[700, 667, 788, 766, 723, 827, 709, 766, 798, 877, 957]",1.2444340099327158,5.419332094610575,0.12646810386367324,59.54457557661672,0.0,1.1,29089.235,14.6,2191.797,9000,9000,64032,32,64032,8560,16,4.353658536585366,21.599999999999994,0.11914634146341466,0.027099609375,"[ -43.55359    149.81274   -270.45874   -125.4848      60.696045
  -48.715027    77.48157     18.04834     62.173706    17.458496
  187.58667     -5.0390625   33.371307    60.7937     -74.10022
  141.25488    -65.467285  -591.79626   -195.03113    471.59363
  -96.87665    -46.065247    70.82971   -512.6395     139.4748
  116.18756    -15.319153  -459.05444    -46.3844     -84.19043
 -248.07077     52.45862  ]",0.0005000000237487257,-919.50146,-1418.9912,-280.11127,-39.65703
-64181.18332993794,-83825.80045939959,-74270.10648027563,779.8181818181819,0,0,10000,32,10000,False,11,10,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_21-04-54,1650629094,58.5847601890564,700.1783018112183,26140,B46DSH3,127.0.0.1,700.1783018112183,320,10,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283, -76889.85962366471, -66447.03194812883, -67294.68884003433, -64181.18332993794, -73389.35166535909, -78950.51069518723]","[700, 667, 788, 766, 723, 827, 709, 766, 798, 877, 957]",1.2444340099327158,5.419332094610575,0.12646810386367324,59.54457557661672,0.0,2.1,15239.546,17.747,1803.137,10000,10000,72032,32,72032,9568,18,4.342666666666665,21.599999999999994,0.11453333333333336,0.027099609375,"[  -6.996559  164.12964   -60.472534 -623.0923   -150.49316   106.63635
  296.1848     75.91077   -17.99878    -8.240604  135.11572  -431.31677
   46.003418   19.236084 -483.19672  -523.2122    -32.916748  -78.332886
  -43.79474   -19.593445  138.46838   -36.4057    -48.582397 -311.89563
  -60.84265   -29.281555  121.4314    -22.036255  -81.661865 -283.53824
  -19.454346   28.98877 ]",0.0005000000237487257,-1062.5248,-1599.2734,-63.970978,-70.039085
-64181.18332993794,-88893.76971311988,-75488.74508301265,833.5833333333334,1,0,11000,32,11000,False,12,11,default,09b58e8d90514efcb6c319e43756cb8c,2022-04-22_21-05-46,1650629146,51.56250524520874,751.740807056427,26140,B46DSH3,127.0.0.1,751.740807056427,352,11,"[-80654.91442939198, -76038.86876627273, -83825.80045939959, -77412.17470532258, -71886.78682033283, -76889.85962366471, -66447.03194812883, -67294.68884003433, -64181.18332993794, -73389.35166535909, -78950.51069518723, -88893.76971311988]","[700, 667, 788, 766, 723, 827, 709, 766, 798, 877, 957, 1425]",1.2347295192618788,5.408767827501563,0.12688425481610058,59.18643235026578,0.0,2.001,15995.058,17.85,1792.715,11000,11000,80032,32,80032,10576,20,4.477611940298506,21.599999999999994,0.16865671641791044,0.027099609375,"[-231.87634   -40.988403  171.78955  -178.15613  -127.30505  -527.8074
  -40.302734  158.29541    10.412109   60.836304  -82.63281    14.960815
    8.550781   53.433594 -110.99414  -784.8623    -38.212524 -172.05273
 -508.42896    68.186035  697.73517   -44.545288  359.1756     76.74819
 -231.3678     79.617065  306.11548  -315.43103  -149.07294  -623.4186
 -137.88885    18.018433]",0.0005000000237487257,-1081.8015,-1702.6232,76.74819,-70.67092
