episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/td_error,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/mean_q,info/learner/default_policy/learner_stats/min_q,info/learner/default_policy/learner_stats/max_q,info/learner/default_policy/learner_stats/mean_td_error
-220314.0,-307568.0,-255112.07142857142,1359.857142857143,0,0,11000,32,11000,False,7,11,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-21-41,1650792101,27.66675090789795,310.7953071594238,29364,B46DSH3,127.0.0.1,310.7953071594238,352,11,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848]",0.1,320023.195,18.957,1687.987,11000,11000,80032,32,80032,10576,20,7.865714285714285,27.0,0.1888571428571429,0.04295247395833333,"[  184.09277      74.34082   -1140.403       167.83228    -694.0231
   -69.30054    -320.6433      298.3772      200.12134     -16.037354
  -312.94385      17.415527    101.45117     -98.946045     40.814453
  -653.59424     172.43207     286.93262    -173.96753      90.79529
  -508.57593     496.61523     190.66797     668.0077     -500.90552
    68.94116     -74.11255    -162.32959   -1007.6432      424.13867
     5.8754883  1228.0669   ]",0.0005000000237487257,-2244.537,-2892.2188,-862.3116,-31.765842
-220314.0,-307568.0,-255112.07142857142,1359.857142857143,0,0,12000,32,12000,False,7,12,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-22-06,1650792126,24.670480489730835,335.46578764915466,29364,B46DSH3,127.0.0.1,335.46578764915466,384,12,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848]",0.0,0.0,15.529,2060.713,12000,12000,88032,32,88032,11584,22,8.190625,27.0,0.2228125,0.04302469889322917,"[  217.18896     -75.48633    -463.31042    -465.42017     177.87842
  1040.0438      -26.76886   -1203.9827     -405.0387      921.66223
  -248.15552     -33.40564    -186.67468     206.6792      177.4939
   155.75757     824.7418      -91.54614     -40.77661     150.44092
   196.15479     507.9275      437.5631      -21.34961    -711.92285
   316.65967    -498.08716     286.771       316.65967     -11.1623535
   217.70825     262.1848   ]",0.0005000000237487257,-2233.4155,-3163.1619,-667.2488,60.325874
-220314.0,-397908.0,-272961.5625,1530.875,1,0,13000,32,13000,False,8,13,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-22-31,1650792151,25.038666009902954,360.5044536590576,29364,B46DSH3,127.0.0.1,360.5044536590576,416,13,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728]",0.0,0.0,14.369,2227.063,13000,13000,96032,32,96032,12592,24,7.9375,27.0,0.1896875,0.043020884195963546,"[ 181.35669    140.40088   -330.8523    -764.0714    -936.7665
  286.3308     171.49976     81.25806    -65.79443   -563.89453
  216.20972    -38.81787     90.323975   389.9043     -52.52997
  201.46045   -639.9132    -748.38354     23.448242  -284.3789
  255.98145   -675.91113   -614.9968     124.58154     -5.5354004
  870.188      468.14746    211.78491     38.361816   -65.13989
   -8.935303   -49.18286  ]",0.0005000000237487257,-2615.6045,-3200.1118,-262.31744,-65.43331
-220314.0,-397908.0,-272961.5625,1530.875,0,0,14000,32,14000,False,8,14,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-22-59,1650792179,28.107045888900757,388.6114995479584,29364,B46DSH3,127.0.0.1,388.6114995479584,448,14,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728]",0.0,0.0,21.014,1522.779,14000,14000,104032,32,104032,13600,26,8.030555555555555,27.0,0.18694444444444447,0.04295236093026619,"[   50.19922     74.85913   -168.59546    515.2678   -1147.8259
 -1899.729       -3.678711   -35.433228  -271.16943    160.64404
   572.36523    -58.94873     87.005615   236.31299   -643.8718
   -21.89746     84.020996 -1426.5842     123.64624  -1725.4685
  -532.67725   -553.49634    506.81982     41.429688   -16.70581
   361.7744    -726.25195   -434.833      127.63306   -590.0959
   401.82788     76.42432 ]",0.0005000000237487257,-2806.0864,-3483.7815,322.5022,-213.65726
-220314.0,-397908.0,-278730.27777777775,1614.888888888889,1,0,15000,32,15000,False,9,15,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-23-24,1650792204,24.741979837417603,413.353479385376,29364,B46DSH3,127.0.0.1,413.353479385376,480,15,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0, -324880.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728, 2287]",0.0,0.0,12.199,2623.197,15000,15000,112032,32,112032,14608,28,8.299999999999999,27.0,0.19774193548387103,0.043026503696236555,"[ -101.35596    158.59106    337.05054    199.10498   -584.3657
   241.07275   -801.8875    -719.5808      97.631836   214.14551
  -163.59668     42.454834  -129.49438    367.34106     89.2251
   313.49      -570.8379     -60.936768   297.04785    229.55322
   -51.030273   115.42944    860.43066    178.52612   -511.25073
 -2158.854      -40.140625  -234.1604    -423.64087   -499.91797
   -34.096924  -679.7842  ]",0.0005000000237487257,-2990.1758,-3872.707,-1234.2734,-125.744896
-220314.0,-397908.0,-278730.27777777775,1614.888888888889,0,0,16000,32,16000,False,9,16,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-23-52,1650792232,27.95079231262207,441.30427169799805,29364,B46DSH3,127.0.0.1,441.30427169799805,512,16,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0, -324880.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728, 2287]",0.0,0.0,14.816,2159.807,16000,16000,120032,32,120032,15616,30,8.025,27.0,0.1763888888888889,0.04296875,"[ -128.2893     734.2815    -270.11377     27.745361   144.63623
   -84.69092     81.70044     36.963867  -567.7251    -189.24731
   -12.359131  -239.7417     -75.111084   243.51758     48.71875
   123.21777     24.13916   -356.29614   -444.1787     123.31079
  -459.94385    398.68372  -2088.2505    -986.3939     993.74146
   -77.85632    -14.139648   762.77856   -436.10364   -683.01245
  -144.30884    452.85083 ]",0.0005000000237487257,-2949.7048,-3840.8096,-940.9303,-95.67114
-220314.0,-397908.0,-277397.05,1666.0,1,0,17000,32,17000,False,10,17,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-24-17,1650792257,25.444230318069458,466.7485020160675,29364,B46DSH3,127.0.0.1,466.7485020160675,544,17,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0, -324880.0, -265398.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728, 2287, 2126]",1.663,19247.928,17.588,1819.388,17000,17000,128032,32,128032,16624,32,8.3,27.0,0.22125,0.04300880432128906,"[-1.3958174e+03  4.9691870e+02  2.1775850e+03  1.3290039e+01
  1.7317944e+02  1.1979144e+02 -3.8275391e+01 -3.0708252e+01
 -1.4957690e+02  6.1613989e+02 -3.9492676e+01 -1.8483384e+03
 -2.9873657e+00  8.0570312e+02  6.0144482e+02 -3.8268555e+01
  6.9553906e+02 -7.2895508e+00 -1.4038733e+02 -1.0399287e+03
  5.4068604e+01  8.6727051e+01 -1.4268577e+03  8.9111255e+02
 -5.6943695e+02  7.0044836e+02  6.8391357e+01 -5.7576904e+01
  6.3040527e+01  1.0795898e+00 -8.3893726e+02  4.1979736e+02]",0.0005000000237487257,-2781.379,-4112.514,208.1808,11.261803
-220314.0,-397908.0,-277397.05,1666.0,0,0,18000,32,18000,False,10,18,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-24-46,1650792286,28.645952939987183,495.3944549560547,29364,B46DSH3,127.0.0.1,495.3944549560547,576,18,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0, -324880.0, -265398.0]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728, 2287, 2126]",0.1,320099.518,13.54,2363.425,18000,18000,136032,32,136032,17632,34,7.978378378378377,27.0,0.17945945945945943,0.04290771484375001,"[ 9.14819336e+00 -1.12667480e+02  3.15885254e+02  5.92686279e+02
 -3.85523438e+02 -2.41484985e+01  2.75362549e+02 -8.31696533e+02
  2.81845703e+01  1.99007812e+02  9.62402344e+01 -1.22896484e+02
  5.18952637e+01  2.24832031e+02 -7.38061523e+01 -6.00773926e+01
 -1.29170251e+03 -1.67358398e+00 -6.02365723e+02  4.61456787e+02
 -6.67534424e+02  2.20486084e+02 -1.71754395e+02 -1.78414087e+03
 -9.38816162e+02  2.66079346e+02  1.67207397e+02 -4.94969635e+01
 -2.52835205e+02 -1.91935547e+02  4.18767090e+01  2.54294434e+01]",0.0005000000237487257,-3262.5913,-4496.442,144.17207,-143.35292
-220314.0,-397908.0,-273614.54545454547,1691.7272727272727,1,0,19000,32,19000,False,11,19,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-25-09,1650792309,23.016578912734985,518.4110338687897,29364,B46DSH3,127.0.0.1,518.4110338687897,608,19,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0, -324880.0, -265398.0, -235789.5]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728, 2287, 2126, 1949]",0.107,299593.143,15.719,2035.721,19000,19000,144032,32,144032,18640,36,8.334482758620691,27.0,0.21689655172413794,0.04295331582255747,"[ -908.42505     -25.803223   -319.0786     -127.23486     -95.958984
     7.4589844  -467.2         -29.943848    -14.173096   -108.499756
   206.42456    -348.39868     325.34595     247.32251     259.86914
   227.17847     111.332275  -1134.0986     -113.851074    146.03058
   -62.691406    -29.89746    -775.9773       44.521973   -602.9785
   170.35425     -27.679932   -228.09912      36.1958      822.10767
  -842.42334     140.67407  ]",0.0005000000237487257,-3513.5264,-4460.773,-879.9306,-109.9249
-220314.0,-397908.0,-273614.54545454547,1691.7272727272727,0,0,20000,32,20000,False,11,20,default,e472faa54e4d4321b9853f4df8321bb4,2022-04-24_18-25-35,1650792335,25.901257038116455,544.3122909069061,29364,B46DSH3,127.0.0.1,544.3122909069061,640,20,"[-307568.0, -248897.0, -270020.0, -239911.0, -228798.5, -220314.0, -270276.0, -397908.0, -324880.0, -265398.0, -235789.5]","[1205, 1109, 1263, 1361, 1297, 1436, 1848, 2728, 2287, 2126, 1949]",0.0,0.0,13.512,2368.275,20000,20000,152032,32,152032,19648,38,8.215151515151515,27.0,0.22,0.04295087101483586,"[ -119.80762     -2.849121   496.81763    247.93848    -26.114014
   451.12524    527.4326    -140.94897    564.69507    268.69897
   116.391846 -1625.4602      39.228027   167.33862    717.68555
  1722.948     -216.34302  -1387.5242    -810.9319      16.07129
   984.5674     696.54663    160.23755    -91.45264   -452.2068
 -1109.9592    -683.9592      -9.497803    96.728516   544.38184
   249.27246   -262.9048  ]",0.0005000000237487257,-3476.2654,-4433.6914,-1731.2578,35.25457
