episode,total_waiting_time,avg_queue_length,avg_speed,cum_reward
1,427429.0,174.00818699517308,0.6621389212828365,-128147.49408709249
2,406216.0,181.93521360692318,0.6056196420578334,-119034.47419455636
3,380836.0,176.19338906478296,0.659131347843699,-109382.36690884146
4,325357.0,170.56655876439044,0.6889991474787559,-111276.52410478298
5,326101.0,165.45476443795155,0.7074730280022199,-117162.81876357747
6,289356.0,155.39561996649394,0.8526190734050478,-119395.18191919626
7,271514.0,157.90752276832862,0.7810812810071671,-107361.49988829544
8,245961.0,147.2905763620923,0.8178626075652619,-112268.01759650811
9,272619.0,145.91754232881428,0.8642828993470825,-120052.71764075242
10,298096.0,142.90075251951967,0.9303645309538365,-118267.72148694667
11,292995.0,137.1518317731997,1.0061606129494711,-128887.90671688985
12,435857.0,132.09694797053035,1.132788460901067,-156662.3845616799
13,1202450.0,137.31561834579105,1.3608048648190267,-294647.2427177541
14,1021588.0,123.41232627260756,1.6739196851174072,-280174.3716348034
15,939684.0,129.8949218737319,1.385672616937973,-270014.4504506403
16,482116.0,124.6467757590253,1.5817272332468129,-157620.46582411422
17,1536637.0,143.64447047682987,1.4247997342742953,-366814.7367102962
18,508457.0,125.8775789329289,1.3893390523452591,-166126.1279542367
19,295470.0,120.48188406273181,1.3554584064042259,-123814.03143871264
20,515729.0,128.83198624516544,1.5420643313156026,-163881.03466275273
21,482520.0,125.29439555506472,1.2748256466471064,-172191.52615691788
22,318659.0,122.95249648336055,1.3502808355394895,-128719.38081549098
23,471836.0,121.52057709135825,1.540529098952667,-159210.22551557614
24,337716.0,122.47467885322993,1.304329405665006,-127716.98069696041
25,344036.0,116.44729994279841,1.5728237159514624,-146607.83185793282
26,792470.0,118.10362819338316,1.7364282715538293,-236959.44690594042
27,446856.0,130.14407377575995,1.1863422551213647,-163052.33342454277
28,435215.0,121.18510611080893,1.3550772080757112,-152897.03318808496
29,648695.0,117.12563159033905,1.6429118658627035,-184804.11480321657
30,559871.0,112.46731494584354,1.7290794472110331,-164972.0286623772
31,455558.0,120.28648535839834,1.4435627816078895,-151301.71742423048
32,398861.0,123.83401011779871,1.4721753169019463,-154183.91089067011
33,526162.0,114.32737113565203,1.810479180144009,-191767.87084348488
34,458084.0,119.80686076693382,1.500545098014212,-159821.141324921
35,455816.0,125.04762978108866,1.2916947794086746,-152619.77311187703
36,464942.0,122.69874879913249,1.407488343165442,-159663.2602413305
37,589241.0,117.45980633846372,1.6297615016070646,-189179.85001702837
38,583178.0,126.89285146002511,1.542359606653384,-197295.63240463194
39,578083.0,120.14584065009934,1.424591222487012,-187606.3317905911
40,507473.0,123.83705903370772,1.5162576299576391,-172585.17585538898
41,705927.0,122.53653462928382,1.5954376223816966,-225826.1801343911
42,929046.0,125.78937344008752,1.497007113650673,-263518.9966104408
43,653841.0,108.45722986598084,1.9629762001210878,-194394.4968263315
44,399249.0,120.78193847356437,1.5911563875062196,-144117.46786931154
45,685556.0,114.04428759584084,1.7451643759019266,-214762.83881956592
46,639017.0,114.21802052536866,1.7517191065602256,-191184.62599349263
47,480900.0,115.99406495207926,1.8084069644585847,-166676.7810546306
48,670793.0,113.27388376064869,1.9087539488456275,-227692.96721161695
49,646646.0,114.5669527017835,1.6984315090452022,-195965.028574114
50,497103.0,115.6609350400426,1.5912678468013461,-169767.44518328892
51,811229.0,117.93249705284528,1.5955420687974515,-240380.83980437025
52,527966.0,114.65174546161853,1.6165268173330771,-187658.49662093451
53,734250.0,121.2360617425167,1.4792280803630644,-222988.01572079005
54,797358.0,119.53208859354602,1.603971969623005,-231658.73667753307
55,444705.0,112.73108318545972,1.807568831659635,-149282.12666863867
56,445039.0,123.97319763465933,1.4056117427378092,-156915.28377966257
57,421798.0,120.4292811913346,1.4402641426618241,-147679.72861862177
58,460046.0,113.6081187350597,1.839955533147426,-161894.88274118962
59,436959.0,114.27480928953658,1.6557745314290808,-150119.4479018291
60,449842.0,107.46590880557103,1.9682695495232738,-169619.5480525038
61,443656.0,124.06313794566083,1.2869731115465373,-151854.42003932357
62,534455.0,115.47642948521073,1.8665158576846983,-174076.07496788242
63,949710.0,122.6779414481379,1.4641842157217406,-264342.4319485855
64,532903.0,123.28312206552557,1.4986040931703037,-164918.82518342734
65,475041.0,110.15133288651798,1.7819366498050653,-156881.66397563746
66,718522.0,117.42327795143883,1.7585034909640125,-218495.46781461933
67,612276.0,111.67985166114501,1.6992247795962845,-196588.17559975467
68,482830.0,121.54504064209351,1.5490054749107254,-174013.08538117266
69,458917.0,110.5302460610159,1.8609220685838714,-163751.62448625723
70,853789.0,114.9211777281875,1.7521262613814075,-263785.3397944349
71,577638.0,111.23409485730481,1.826966775729998,-181359.94013781365
72,584020.0,111.85068871118439,1.9049630020562907,-188754.5044427198
73,549402.0,110.24236481305253,1.8838019592663773,-195719.69125792236
74,488002.0,116.41309517494308,1.9354502408377554,-170155.90132040295
75,670256.0,119.90138669330791,1.638068889538837,-211178.06401561957
76,415783.0,108.02774916751353,1.8454692345418546,-150936.69302237913
77,535900.0,110.0209300969252,1.8237367328809129,-184642.3268766812
78,442116.0,125.2179773009808,1.2863729992478268,-145126.09885036145
79,440354.0,111.58770918293175,1.8450411587414555,-168165.27319778415
80,590684.0,117.6994116065966,1.50671051900896,-197889.51459412606
81,467293.0,102.84322576768605,2.1627029852469275,-179379.5305839334
82,487357.0,114.92541873059355,1.6656208564649815,-169645.21502634278
83,714499.0,113.42957926104197,1.8185557691525078,-243321.59616445954
84,571429.0,113.66119263868441,1.7109683883601856,-196710.36405409788
85,560345.0,111.54914110528763,1.822050591146295,-189348.20526971234
86,530521.0,111.52549874830454,1.783712067643477,-185672.73749095044
87,731486.0,146.29011552199765,1.2447015677614157,-211275.7577581249
88,619783.0,123.5383964536395,1.6266714529399242,-197300.96351388958
89,669407.0,113.62275862350026,1.8674951338721857,-206059.04794780383
90,581822.0,117.36207135255192,1.6285390678573728,-198379.62209002036
91,1030014.0,123.09592961763418,1.5274857852807044,-290904.65518421936
92,567773.0,115.68416593787681,1.7301895702371939,-179273.46846172315
