episode,total_waiting_time,avg_queue_length,avg_speed,cum_reward
1,326233.0,77.1988480510755,1.0424579008597428,-307568.0
2,262794.0,68.29381986948233,1.1478705572567927,-248897.0
3,289918.0,65.57331350596273,1.1964114344039247,-270020.0
4,262258.0,54.60001173485539,1.3901580164535496,-239911.0
5,250629.0,56.43196825006655,1.421050314349608,-228798.5
6,240119.0,43.13289220528703,1.8053397137005718,-220314.0
7,295805.0,36.77189225574962,2.149783757824995,-270276.0
8,458119.0,31.199779426274933,2.1412742143209105,-397908.0
9,379126.0,30.586848728793125,2.1421650565067654,-324880.0
10,303731.0,30.535717423537488,2.3593096384134844,-265398.0
11,282866.0,32.360566786220915,2.2586938029702712,-235789.5
12,350957.0,34.17267451261934,2.2553399196875326,-310853.5
13,311276.0,31.990540328159376,2.4787175233859546,-258960.5
14,261461.0,31.013272452788392,2.5016463766342825,-222878.0
15,445545.0,41.028415909462055,2.0597872590099073,-394942.0
16,404290.0,36.23906829091252,2.273565825418213,-341803.5
17,341532.0,32.268992888381696,2.257095029277249,-289789.0
18,308966.0,30.468815952646583,2.4353380694707445,-246190.5
19,283369.0,30.059620290877582,2.371868393255912,-241556.5
20,266916.0,30.669177704614892,2.3987133884095426,-238362.5
21,401685.0,35.59509512299842,2.1116637309747945,-361485.5
22,329309.0,33.307834599327414,2.1790331412075954,-265484.5
23,384738.0,32.10077823178872,2.333178959972949,-313356.5
24,322099.0,31.253791985622467,2.3900789167185046,-261818.5
25,260810.0,30.85083205141161,2.456275759212413,-214987.0
26,302944.0,32.693336675538255,2.336680192332958,-258144.5
27,296362.0,28.854581283493676,2.365657777817272,-241504.0
28,301171.0,29.846099760612866,2.2304866441146567,-249455.5
29,267575.0,30.58285511605726,2.2909626472890037,-232109.0
30,321200.0,32.42400761417418,2.127652930554093,-265554.0
31,270135.0,29.83084971306316,2.3922235574001998,-225567.0
32,284987.0,31.314557253382475,2.384613704751465,-249846.0
33,239996.0,29.882127227981037,2.4088419335574254,-205926.0
34,257430.0,30.611652254170444,2.327436350558323,-223242.5
35,280757.0,32.23452039218366,2.310750273697733,-235572.5
36,285399.0,31.11573563013955,2.3541201317862837,-250996.5
37,299126.0,33.20025407382889,2.27700383751391,-257626.0
38,261266.0,30.237339622589218,2.253484516133133,-216049.5
39,256999.0,31.259601192209296,2.2932644098445114,-210645.5
40,333433.0,32.917425971027804,2.3952431558399963,-287322.0
41,329540.0,29.58059176250096,2.329270792918359,-276384.5
42,278737.0,32.14506874507129,2.3704399968783165,-239170.5
43,310664.0,33.42048516749705,2.338149835784245,-262960.5
44,273135.0,33.11669083007649,2.218066308945054,-234209.0
45,315442.0,31.26194841209107,2.2542520092489657,-264644.5
46,276392.0,29.80948573417443,2.369610064864486,-230258.5
47,314555.0,33.39884869611554,2.235282241629156,-268247.5
48,316415.0,30.378043600339343,2.379131503652726,-260283.5
49,308472.0,30.386063689917027,2.2501019790076113,-264943.0
50,278744.0,29.397250239243814,2.3098791295074905,-241551.5
51,256066.0,28.820839600689162,2.3706367176898113,-228666.0
52,296392.0,31.50869399707751,2.306269237520721,-247638.5
53,287746.0,30.09336004783439,2.3217498568179473,-246390.5
54,318577.0,32.228938040528796,2.2412194577801934,-264388.0
55,382909.0,41.06419436403506,2.0727036639827756,-343954.5
56,324077.0,34.53203010124922,2.1465570252485,-300591.0
57,282577.0,32.271785871677835,2.3822984149147524,-242153.5
58,250253.0,29.658862739780478,2.382230757827834,-218269.5
59,283102.0,28.13268819416531,2.5158262036353483,-233892.0
60,353442.0,32.309993317936964,2.2347024692796205,-290931.5
61,303663.0,31.074335186342932,2.3157975374184283,-262096.0
62,277929.0,29.789599212157878,2.5814944922967675,-234708.5
63,279738.0,29.450387729381617,2.34229380580711,-230342.0
64,283734.0,32.84296006309242,2.349384485594205,-243502.5
65,242117.0,30.75024640173702,2.400105111871184,-211112.0
66,334706.0,30.981747276365457,2.4279364076046472,-278132.5
67,376342.0,35.57917155915378,2.189910171956027,-310314.0
68,284496.0,28.147932016576096,2.393546443302557,-238540.5
69,283528.0,33.93078232006836,2.1877173887539367,-240106.0
70,323882.0,31.2319004316603,2.276431829481544,-261776.5
71,328378.0,35.25114196661204,2.11896900522316,-273960.5
72,292856.0,31.505430937016353,2.4105696724580823,-238143.5
73,319690.0,30.80432704437217,2.358141116231401,-274955.0
74,269630.0,29.85195615975179,2.2909045643245727,-222520.5
75,291629.0,30.680099567663184,2.35636325386781,-246807.0
76,244515.0,32.32914380504093,2.306100005159834,-210023.5
77,281041.0,31.234377739500964,2.2279188951637905,-248463.0
78,270870.0,31.761315046124874,2.1583549803892312,-223667.5
79,251573.0,28.225604419371372,2.4489717029177767,-211567.0
80,269377.0,27.51883867183319,2.403787704860118,-230897.5
81,437725.0,41.14442531369046,2.002678813223951,-375324.0
82,277998.0,32.5592986295423,2.227650393888833,-236868.0
83,277294.0,31.051791058194176,2.430055594618492,-228184.0
84,246870.0,29.31018517284577,2.2674781681618534,-204473.5
85,274256.0,31.463478580267257,2.246472030671801,-231907.0
86,301616.0,30.066884218370262,2.3822732469473946,-266903.0
87,291168.0,28.22666598047036,2.4700683945718813,-230890.0
88,303893.0,28.519026595493663,2.2869727790066197,-259750.0
89,253105.0,29.02225567596947,2.381295836754584,-212839.0
90,268814.0,28.741956571656715,2.3120937000177015,-235712.0
91,257044.0,29.082907024112895,2.2959824795619768,-218343.0
92,283129.0,30.829788278949916,2.1876606150398326,-228349.5
93,248447.0,28.710203338903376,2.364685947550922,-212553.5
94,280340.0,33.4935143817741,2.3014210753338755,-234687.5
95,271599.0,29.57963236049795,2.385206081146955,-228906.0
96,282831.0,28.254949760903468,2.468847717193804,-236555.5
97,287422.0,29.777187065527297,2.291918254923967,-240217.5
