episode,total_waiting_time,avg_queue_length,avg_speed,cum_reward
1,290112.0,63.30750124401283,1.2960448190996074,-286598.5
2,233514.0,58.98308179533062,1.34190585286647,-230899.5
3,249434.0,54.05778434209179,1.5111659545348177,-246808.5
4,243865.0,48.30727037542261,1.5564478335651661,-240705.5
5,225235.0,44.356298700747594,1.6787851129612195,-220092.5
6,218229.0,40.98495501300523,1.8368232455529987,-214091.0
7,237898.0,33.525760278141256,2.2114035869438373,-229430.0
8,383329.0,28.535560355799195,2.654141915896216,-369081.0
9,350239.0,30.72094550251115,2.5245639309900203,-330015.5
10,313272.0,28.130499084989147,2.5771235134695485,-300732.0
11,278090.0,27.048815728633812,2.657323749135536,-262851.0
12,271628.0,28.72778729498109,2.442108669679612,-262483.5
13,252557.0,28.694521083771193,2.586291796441041,-246051.5
14,253862.0,26.082490753994893,2.719691613615895,-246008.5
15,254666.0,29.020205451847794,2.662525888908739,-247621.0
16,246458.0,27.88871311168044,2.349881051970876,-233940.0
17,266527.0,28.74487644886747,2.5175848572819004,-255547.5
18,260650.0,29.084876722039184,2.7509689312892545,-250130.5
19,251228.0,27.272812583747143,2.514177854907621,-242538.0
20,220143.0,25.61761942335392,2.821092859413159,-209999.0
21,234907.0,28.26175394914808,2.695169340721305,-225292.5
22,352866.0,31.906524116136627,2.307614413365224,-328559.0
23,258540.0,26.822687222760983,2.579867101677106,-249269.5
24,240844.0,27.299254042386753,2.72781470406278,-227183.0
25,278171.0,29.48064960837177,2.3945686983670047,-264659.0
26,254958.0,27.69265595502718,2.659416129850184,-247429.0
27,249213.0,28.933803611779464,2.456420771592574,-238298.5
28,279114.0,27.537069720012887,2.620781122032333,-262442.0
29,232018.0,27.239395945255072,2.5905651879451446,-220896.0
30,219330.0,27.4139826433375,2.7004640593774467,-210776.0
31,230724.0,27.891527819893074,2.6676631596164215,-223435.0
32,364719.0,30.743227010891538,2.5315322603511845,-346268.0
33,230437.0,25.103415234121186,2.927681619469082,-221870.5
34,197341.0,28.914184591925927,2.6182152870678435,-192184.0
35,218388.0,28.847971651025638,2.6423057747695124,-212315.0
36,186824.0,25.969753865739523,2.6404578300151966,-180093.5
37,250847.0,30.7182795282372,2.657464360704642,-243050.5
38,306463.0,33.11806738939949,2.452253283919549,-296569.0
39,242396.0,30.63034493740107,2.458164755629864,-232376.0
40,288774.0,31.864044399818116,2.513707125835862,-280146.0
41,264819.0,28.123792744240987,2.3740696180278897,-250338.0
42,312379.0,31.961289592465914,2.3712459281324594,-302101.0
43,237154.0,27.81754937961422,2.6259157709037497,-227272.5
44,199649.0,28.74733264760636,2.4656989926708226,-190007.5
45,256525.0,30.38059751132004,2.70765912158174,-247531.0
46,263250.0,28.79120476497071,2.7123106697216812,-253662.0
47,199431.0,28.12290805858396,2.778323636076739,-188729.5
48,310518.0,28.202545862067172,2.5543693541473664,-296205.5
49,264043.0,27.84588587541239,2.5263536301163536,-248569.0
50,245977.0,27.70919683031042,2.6020613437562137,-233820.5
51,233561.0,28.15722463768716,2.514198303456198,-225451.0
52,215050.0,26.451067597354246,2.69438689462288,-209612.0
53,224493.0,29.527840250663726,2.4683900127765384,-210981.5
54,281415.0,28.4377670846894,2.6551276284848506,-272617.0
55,270772.0,26.66862500910619,2.8918705958011137,-263986.5
56,235109.0,26.88255047502376,2.832576189469358,-225663.5
57,236125.0,26.434098017418027,2.6781950799487464,-228796.0
58,251344.0,26.11624900183585,2.6576550572560436,-242913.0
59,217097.0,27.581522007645482,2.6907281066070916,-210298.0
60,236081.0,27.48944134476027,2.6872823711273295,-229156.5
61,319973.0,27.919089355995528,2.6281617770339474,-310890.5
62,256487.0,25.326022026160594,2.784528858264086,-242567.5
63,231740.0,29.108931478113973,2.5536592216162757,-220585.0
64,208226.0,27.179744053961034,2.50713682541201,-203141.0
65,204236.0,27.191420377047397,2.696051203602895,-198097.5
66,217928.0,28.886508632116204,2.60584108636022,-212452.5
67,286869.0,29.000189534305914,2.5335934011853833,-277344.5
68,262079.0,29.034528287849422,2.468715494029827,-252349.5
69,307674.0,28.814838661952585,2.5809106338974073,-291519.0
70,304215.0,29.886467040288846,2.4236627886121136,-292402.5
71,259218.0,28.428715868716342,2.5606142909229628,-250606.5
72,238873.0,30.36425688201229,2.5403281097748605,-232474.0
73,291892.0,29.47544940775336,2.516369257018308,-280342.5
74,265149.0,27.979520552552867,2.68825028309924,-251984.0
75,270472.0,28.09962224327284,2.5002272019356613,-261314.0
76,232164.0,27.31907663464773,2.728118063722103,-225951.5
77,238172.0,27.920188752972877,2.699648941994449,-231011.0
78,240281.0,26.13959423954931,2.8178042768806018,-234756.5
79,222714.0,28.099232384690346,2.633494173632385,-213032.0
80,232262.0,28.40856534529702,2.46593250710978,-225792.5
81,235312.0,26.948683288578117,2.660371336660241,-224553.5
82,344296.0,30.368609835379836,2.4109463478693125,-333519.0
83,266890.0,26.62860524028844,2.5691385238500755,-254141.0
84,263139.0,27.331461506942038,2.540215289533065,-253283.5
85,258041.0,27.57308299007046,2.450398688417742,-247648.0
86,231221.0,26.37497786543855,2.891753869986268,-223124.5
87,197861.0,28.17048709424381,2.7308073525296037,-191726.5
88,261035.0,28.245236338579833,2.6835040886581734,-254008.0
89,203854.0,28.349134178352042,2.629548144333338,-193799.0
90,241790.0,29.630305544194158,2.4488129636015836,-232726.5
91,258731.0,28.76630418356643,2.5516572030799414,-252533.5
92,266851.0,28.127065748046117,2.801220206439185,-256795.5
93,227035.0,28.779122092347965,2.568482806491406,-219447.5
94,226318.0,29.483669697014683,2.5711819895177035,-219944.5
95,217452.0,29.133146985793783,2.565180991743713,-211019.0
96,346009.0,34.7914280803864,2.2042249759772163,-334779.5
97,245603.0,26.457198715561418,2.830657566945043,-235230.5
98,248867.0,28.81638242079162,2.748438005030312,-237628.0
99,267009.0,29.01440932647609,2.611891283297826,-254141.5
100,273318.0,27.44391560167738,2.6226498508315927,-264659.5
101,246703.0,25.11729529615839,2.9288340273853417,-238608.0
102,238180.0,27.28334619753795,2.8180237919171085,-230547.5
103,301681.0,34.040727869000854,2.3259058723555768,-293773.5
104,290238.0,28.99447298445229,2.598637168944164,-279042.0
105,341242.0,32.63663751940796,2.3599475243989314,-324758.0
106,263143.0,27.73876589020032,2.608031407990852,-253923.0
107,241118.0,28.919985863383307,2.6085956123248955,-236013.5
108,268821.0,26.159824054052265,2.6729954013917894,-257356.0
109,253746.0,29.05309389446,2.710940172963452,-245386.0
110,213800.0,28.930328402651703,2.581199869550187,-206886.5
111,214765.0,31.4136504610186,2.46029877476394,-208213.5
112,235608.0,27.38563708517616,2.5870007805295483,-225519.5
113,252829.0,27.7911892943051,2.6338253516993575,-244768.0
114,278426.0,29.798953620937915,2.4309909175123185,-270471.0
115,235974.0,26.262986634039585,2.69660953760188,-227254.0
116,282091.0,28.97873576712365,2.4030313594632853,-271268.0
117,279246.0,26.77151399040359,2.7684262362229193,-271545.5
118,228577.0,26.755365782195547,2.530041639910863,-218158.5
119,236893.0,29.18374391760236,2.5223748127129637,-229105.5
120,218842.0,29.261799132761286,2.411983628129758,-210546.0
121,352078.0,33.87678418161484,2.353236491155599,-338316.0
122,363320.0,33.549627657877224,2.3555666182815163,-353555.0
123,308500.0,32.9886185069969,2.4583485218775785,-302842.0
124,226975.0,25.32939367122637,2.840126305389199,-218068.5
125,237591.0,31.110655051066164,2.382985590783729,-228038.0
126,250602.0,27.12035363902619,2.7159490254713847,-240346.5
127,280721.0,28.46345537617103,2.598686002909247,-272682.5
128,263598.0,27.256022354524596,2.7009084622878956,-253272.0
129,261960.0,26.89683945270967,2.653090720324575,-250646.5
130,232911.0,26.460526431949287,2.5632113838873742,-215503.0
131,228067.0,26.912318887592555,2.8508119094934035,-222057.5
132,264769.0,29.503716619596496,2.6200432594226797,-253951.5
133,234341.0,28.518596149710607,2.6134057572570217,-222375.5
134,325081.0,31.658674094817275,2.393340775642114,-317432.5
135,254977.0,28.37325899345779,2.5860749530672957,-245170.0
136,245721.0,26.96030910111966,2.7167261831644445,-234366.5
137,274803.0,29.96064373459658,2.402138282284047,-267498.0
138,287491.0,29.45186061052188,2.434246271530043,-274484.5
139,241512.0,27.4814171278195,2.3635060899509495,-225450.5
140,230887.0,29.357696790115515,2.5616787895728432,-223861.5
141,231237.0,26.650056474605222,2.4980413745325496,-220231.5
142,202315.0,28.603134006727885,2.629514916494762,-196071.0
143,325841.0,27.942289976943886,2.764470249482967,-313473.5
144,246640.0,30.445715457925907,2.3898787884439665,-238445.0
145,265892.0,31.975230697793325,2.4662255532763995,-254573.5
146,229161.0,25.58354073504885,2.8573934330013318,-217557.5
147,225956.0,27.679947640841384,2.4887348868504477,-215715.0
148,263380.0,28.68293611098099,2.4688294276600824,-248210.5
149,244484.0,29.5128353541522,2.342345419157304,-235713.0
150,210283.0,28.456225252541046,2.7036735467836697,-201583.5
151,214612.0,28.542897302531657,2.7865808903140312,-206535.0
152,269490.0,27.382964252825804,2.624618589187252,-255115.0
153,327050.0,33.493271876808365,2.3162215298595914,-314512.5
